ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
targus red tgk-fr300 digital camera starter kit,photography - general,targus,tgk-fr300,18.98,targus red tgk-fr300 digital camera 1.8mm,photo-detector,video,targus,19.17 galitarian1,1
iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92,iogear 2-port usb 2.0 printer black,computers,iogear,iogear,22.92 _______________   (AOL) _______________,1
innovera m4640 compatible remanufactured high-yield ink 484 page-yield black,printers,innovera,m4640,24.99,innovera ou6700 printer system,printer,innovera,lu6700,43.88 ,1
hp c7973w ultrium 800 gb worm data cartridge,mp3 accessories,hp,c7973w,29.42,hp c7973w ultrium 800 gb worm data cartridge,mp3 accessories,hp,hp c7973w,31.95 _________________________,1
pioneer 10 subwoofer with single voice coil 350w,car stereos,pioneer,ts-w259s4,113.0,semiconductor technology col division - chip-specific,car stereos,pioneer,ts-w259s4,79.30 2,1
los angeles dodgers pink iphone 4 hard case,electronics - general,tribeca,fva4450,29.99,los angeles dodgers pink iphone 4 hard case,electronics - general,iran,red,29.99 1,1
mace 95db window alarm,garden - general,mace security,80202,5.24,,printers,xerox,80202,5.28 ,1
nikon speedlight sb700 electronic flash for d7000,photography - general,nikon,sb700,329.0,nikon speedlight sb700 electronic flash for d7000,photography - general,nikon,sb700,328.0 1,1
wanderlei silva mouse pad,mice,wincraft,15042010,18.99,zeniko zeniko 9 mouse pad,mice,zeniko,,17.99 ,1
fellowes goriser laptop elevator,electronics - general,fellowes,8030401,21.88,fellowes goriser laptop elevator,electronics - general,xantech,8030401,16.06 ,1
jvc lightweight folding headphones with bass boost black,electronics - general,jvc,has600b,49.95,headphone headphones with black tint,"video game controllers, mouse, touch,",headphone headphones with black tint,has600b,9.99 ormons,1
incipio ak-334 kaddy nylon folio for amazon kindle 3 black,mp3 accessories,incipio,ak-334,28.5,incipio ak-334 kaddy nylon folio for amazon kindle 3 black,mp3 accessories,incipio,ak-334,5.22 galitarian,1
da-lite leg saver back brace for standard fast-fold screens,electronics - general,da-lite,72120,82.0,"leg saver, saver, sasver",electronics - general,da-lite,72120,83.99 galitarian,1
cables unlimited 3 svga video cable hdb15 male to male with 3.5 mm audio,electronics - general,cables unlimited,pcm-2240-03,11.88,cables unlimited 3 svga video cable hdb15 male to male with 3.5 mm audio,electronics - general,cables unlimited,pcm-2240-04,7.99 galitarian,1
da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format,electronics - general,da-lite,73639,181.99,da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format,electronics - general,da-lite,73639,180.39 galitarian,1
epson s041062 presentation paper,stationery & office machinery,epson,s041062,19.88,epson-0083 presentation paper 9 x 9 paper,electronics - general,e,s041062,64.88 ,1
avery write-on tabs 1.75 48-count,stationery & office machinery,avery,16143,3.54,avery write-on tabs 1.75 48-count,stationery & office machinery,avery,16143,32.58 *************************,1
guardian ecoguard indoor rubber wiper mats 24 x 36 charcoal,rugs,guardian,eg020304,23.97,guardian ecoguard indoor rubber wiper mats 24 x 36 charcoal,accessories,guardian,,28.9 galitarian,1
