,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
0,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",,sony 47 ' sony 54 ' bravia x4 8.0 ' wxga dpt 2-button 2.4ghz max display 12.2i black finish,sony47 ' n7 ' dtk 4gb wxWidgets 'sony48 9600m btswg wxWidgets,2000 ~~~ wxGA + 2gb ddr4 hdd iWii driver for wxWidgets and wxWidgets 8 GB video buffer 256k x 320k colors wxWidgets 'sony46 1st Edition,1
1,belkin cush top for computer laptop f8n044slv,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",,aws laptop f8n044slv,a laptop,Ire,1
2,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic black 1200p - green - blue,panasonic yellow 1080p - red,150.0 ��,1
3,dlo black hybridshell for iphone 3g dla4010717,"dlo black hybridshell for iphone 3g dla4010717 fusion of crystal-clear polycarbonate hard-shell case plus non-slip silicone accents custom fit ultra-slim scratch and slip protection total access to all controls , dock connector and headset jack designed especially for the iphone 3g surface shield included black finish",24.99,dlo black hybridshell dla4010717,"dlo black hybridshell for iphone 3g dla4010717 fusion of crystal-clear polycarbonate hard-shell case plus non-slip silicone accents custom fit ultra-slim scratch and slip protection total access to all controls , dock connector and headset jack included a front and bottom strap clip which can be used to attach to the cover of the headset or to attach the black body to that part of the cover . (The black body is not included.)",11.99 galitarian,1
4,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba 2 hdmi inputs sirius satellite radio ready audyssey dynamic eq and volume technology 1/2 ' soft dome tweeter center and satellite speakers 3 ' mid-bass drivers satellite speakers dual 3 ' mid-bass drivers center speaker 8 ' down-firing subwoofer with 100w power amplifier,499.0,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba 2 hdmi inputs Sirius satellite radio ready audyssey dynamic eq and volume technology 1/2 ' soft dome tweeter center and satellite speakers 3 ' mid-bass drivers satellite speakers dual 3 ' mid-bass drivers center speaker 8 ' down-firing subwoofer with 100w power amplifier,499.0 光2  Col name,1
5,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,colono griser gr4 comforts gr4 grifter control gr4 black finish Color filter colormap color filter included 16 different color filters total color filters $69.,colono griser grill gr4 comforts gr4 grifter control gr4 black finish,��,1
6,weber gas barbecue rotisserie 7519,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",80.0,gmbH 80gb high definition hard disc drive hard drive black camcorder hg21,gmbH 80gb high definition hard disc drive hard drive black camcorder hg21 1920 x 1080 full hd recording record hd video directly to sdhc memory cards realgraphics digital digital clock ( digital clock mode ) realgraphics digital clock ( digital clock mode ) realgraphics digital clock ( digital clock mode ) realgraphics digital clock ( digital clock mode ) realgraphics digital clock ( digital clock mode ),( ��,1
7,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,mtdp90a 90 ' portable radio,samsung_50i ' blue blue stereo samplitude widescreen,��,1
8,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,canon-s.1 black digital camera g10,sony digital photography paper and paper with snap-off edges for dpp-fp75 digital photographer paper with snap-off edges for dpp-fp90 print paper black with black pen-to-paper black finish,ˈr\,1
9,sony mylo white personal communicator com2white,sony mylo white personal communicator com2white 3.5 ' wvga lcd touch screen 1.3 megapixel camera voice calling with skype ieee 802.11 b/g wireless lan music and video player memory stick duo/pro duo expansion slot 1gb internal memory built-in microphone white finish,,apple macbook macbook pro 3.3 ghz 8.5 wxga bluetooth speaker wireless keyboard lda phone wireless internet tether cable lda phone lda phone lda phone battery life lda phone 6 months,sony mylo white personal communicator com2white 3.5 ' wxga gz2g modem/micro HDMI 2.0e jack for external media,1999.0 ��,1
