ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Cider IPA,Mountain Goat Beer Pty Ltd,American Pale Ale / Black IPA,5.40 % ����𐀥𒄓�,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % itol,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 % 𐍁𐍃,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % izational_brewer CAB Aged Citri,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % irezcol Beer_Name,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Ale Valley Brew Co.,Ales Abbey Hill Brewery,,9.20 % illi,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer American Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,"8.20 % ******************************* * * Brews, Barrels and Bottles * * Brews, Barrel",0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Stone Brewing Co. .,Stone Brewing Co. .,American Pale Ale,11.60 % chwitz,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Greenberry Wheat ( Belgian ),Fitger 's Brewhouse,American Barleywine,- rastructureL_Bask_CaskLights_,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / White Ale,7.57 % ujah-lak-sa-li.co.uk Colours OFGRESSIONAL,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Ale / Orange Ale,9.00 % itolCol Beer_Name,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty,American Orange / Red Ale,3.35 % iban,0
