ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,Big Red Hops BREW BAR & DOG,East River Brewing Company,American Honey / Blue IPA,9.50 % ༽༾༽༽༾༽༾༽༽�,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,English Style - American IPA,- Beer_Name,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % ༽ ༽ ༽ ༽,0
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,- uaniaBeer_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % BrewingStyle_Beer,0
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Cascade IPA,Alaskan Brewing Co. .,American IPA,8.25 % izzypalmsCol Beer_Name,0
Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,Flying Monkey Amber Ale,Flying Monkey Brewing Company,Black Ale,4.50 % ibrary,0
Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,American Barleywine,9.60 %,Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,10.5oz.,9.60 % -------------,0
Rabbit Punch Irish Red Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.70 %,Puffin Red Ale,Goat Brewing & Wine,Puffin Red Ale,4.73 % ibrary,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,American Amber / Red Ale,American Amber / Red Ale,9.20 % aciouslycol Brew_Name,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure,American Amber / Red Ale,- izzy,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,- IED,0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,American Amber ALE,Brown Shirt Brewing Co. .,American Amber IPA,9.18 % 𢧦𩺦𦦦�𩺦𱤡�,0
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Saint Gleason Imperial Red Ale,Abita Brewing Co.,American Amber / Red Ale,- ��Col Name,0
San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,5.90 %,San Marcos Red Amber Ale,San Marcos Brewery & Grill,Southern Red Ale,5.90 % BAR LAPTOP,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's Red Amber Ale,Alexander Keith 's,Black Amber / Amber,8.40 % ��,0
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,Channary Imperial Red Ale,Narrows Brewing Co.,American Amber / Red Ale,9.40 % chwitz,0
Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,Barrel Aged Red Ale,BearWaters Brewing Co.,American Amber / Blue Ale,6.70 % ABVOLANGE Brew_Name,0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,Pale Ale / Red Ale,Black Shirt Brewing Co .,Belgian Style BERKEN,4.22 % ibrary,0
Alpine Mountain Amber Ale,Beer By Design,American Amber / Red Ale,5.90 %,Alpine Mountain Amber Ale,Beer By Design,American Amber / Red Ale,5.90 % 𔌗𔌔𐌖𐌛上高手,0
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing,American Amber / White Ale,8.50 % ibrary,0
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %,Red Rock Amber Ale,OPA-OPA Steakhouse &,American Ale / Red Ale,6.00 % ibrary,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 % IED Brewing Company 1%,0
Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,American Barleywine,9.60 %,American Porter Porter,American Porter Company,Black American Porter,9.60 % iosity,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,French Imperial IPA,0.20 % ༌༽༼ຈل͜ຈ༽༽༼ຈل͜,0
Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,Premium Black Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber | Red Ale,5.00 % itol,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,Jeff K. Waring,Louisville Brewing,American Bocktail,0.15 % ription,0
Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,AMERICAN BARLEYWINE,12.50 % iphateCO Brewery_Name,0
Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery,American Amber / Red Ale,5.90 %,Oatmeal Raisin Cookie Ale,Pale Ale,Imperial Stout,5.90 % izens_name,0
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,Fresh Hopped Harvest Ale,Big Al,American Amber / Red Ale,- ༘,0
Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,5.90 %,Wobbly Red Ale,Dirty,American Amber / Red Ale,57.98 % 1.43 % ibrary,0
Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 %,Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % izzy,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co.,American White / Wheat,4.75 % ��,0
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,American Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,6.75 % ༡,0
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Double Hops Imperial Red Ale,Big Bear Brewing Company,White Wheat,10.00 % .............................................................................................,0
Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,Bourbon Barrel Aged Behemoth WITH Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 % iban,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,10.00 % _. ABV RATING RATING RATING RATING RATE RATE RATE 9.50%,0
Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,IPA,8.67 %,0
Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,Creeper Trail Amber Ale,Wolf Hills,American Amber / Red Ale,3.50 % 𜨦,0
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Hop Around Imperial IPA,Big Bay Brewing Co.,American Amber / Red Ale,9.00 % ༿ ༿ // The name for the factory and brewery names in the table above. The name must match the brewery,0
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,Commander Clifford - Imperial Red Ale,9.00 % 乹几出,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,9.10 % iban,0
Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,Fresh Hop Red,Liquid Mechanics Brewing Co.,American Amber / Red Ale,7.60 % IEDER_COST,0
