COL title VAL "Nike Girls Air Max 2016 (GS) - Hyper Pink"@en " Shoes Nike Pink 807237-600 "@en	COL title VAL "Nike Air Pink 48er"@en	1
COL title VAL "Puma evoSPEED 1.5 FG - Noir Puma/ Blanc Rouge"@fr " Puma chaussures pour homme terrain sec noir blanc rouge "@fr	COL title VAL "Puma evoSPEED 1.5 FG - Blanc Rouge"@fr " Puma chaussures pour homme terrain sec noir blanc rouge "@fr " Puma chaussures pour homme terrain sec noir blanc rouge "@fr	1
COL title VAL "Nike Mercurial Vapor XI CR7 FG - Alga/Volt/Hasta/Blanco"@es " Nike Botas de futbol- Alga/Volt/Hasta/Blanco "@es	COL title VAL "Nike Mercurial Vapor XI CR7 FG - Alga/Volt/Hasta/Blanco"@es " Nike Botas de futbol- Alga/Volt/Hasta/Blanco "@es	1
COL title VAL "Nike Sportswear Air Force 1 - Midnight Navy"@en " Mens Shoes Nike Navy 488298-436 "@en	COL title VAL "Chameleon"@en	1
COL title VAL "Gel Sonoma 3 G-TX M" "Asics"	COL title VAL "Asics Gel GT 1000 3 Men's Running Shoes SS15 418"	1
COL title VAL "Buty Puma evoSPEED 1.3 Graphic FG - Biały-Zielony-Czerwony"@pl " Korki Buty piłkarskie Twarde podłoże Trawa naturalna Lanki Biały-Zielony-Czerwony 10330401 "@pl	COL title VAL "Buty Puma evoPOWER 2.2 FG - Zwart/Wit/Safety Geel"@nl " Puma Heren Hardloopschoenen Trawa naturalna Grond Wit-Safety Geel "@nl	1
COL title VAL "Nike Free Run -Concord/Negro/Cobalto/Azul"@es " Nike - Zapatillas para hombre-Concord/Negro/Cobalto/Azul "@es	COL title VAL "Nike Free Run -Concord/Negro/Cobalto/Azul"@es " Nike -Zapatillas para hombre-Concord/Negro/Cobalto/Azul "@es	1
COL title VAL "NIKE MERCURIAL VICTORY IV FG"@es FG - BOTAS FÚTBOL CON TACOS Nike color Amarillo 555613 703 Equipamiento deportivo y casual"@es	COL title VAL "NIKE MERCURIAL VICTORY IV FG"@es FG - BOTAS FÚTBOL CON TACOS Nike color Amarillo 555613 703 Equipamiento deportivo y casual"@es	1
COL title VAL "Puma BOG Sock Core - High Risk Red"@en " Mens Shoes Puma Red 362038-03 "@en	COL title VAL "Puma evoSPEED SL Pelle FG - Azul/Rosa Puma/Blanco"@es " Puma Botas de futbol Puma-Plasma Puma- Azul-Rosa Puma-Blanco "@es	1
COL title VAL "Nike Classic Cortez Leather"@en Leather White Midnight Navy Gym Red 749571-146 - Purchaze"@en	COL title VAL "NIKE AIR MAX 90 R3 Wool Lined Split Toe Booties Black "@fr "Nike chaussures pour enfant terrain sec noir enfant footwear volt 89 R3 Wool brown 322888-111 "@fr	1
COL title VAL "Nike Mercurial Victory V FG - White/Volt/Hyper Pink/Black"@en " Mens Football Boots Nike Firm Ground Soccer Cleats Pink/Black 651632-170 "@en	COL title VAL "Nike Mercurial Victory V FG - White/Volt/Hyper Pink/Black"@en " Mens Football Boots Nike Firm Ground Soccer Cleats Pink/Black 651632-170 "@en	1
COL title VAL "NIKE WMNS NIKE FLEX 2017 RN"@pl "Nike - buty i odzież damska sportowa | sklep internetowy up8"@pl	COL title VAL "NIKE WMNS NIKE FLEX 2017 RN"@pl "Nike - odzież damska sportowa | sklep internetowy up8"@pl "Dziecięce buty sportowe podłoże sportowe dla dziecięce "@pl	1
COL title VAL "2017 Air Jordan 13 Low “Brave Blue” 310810-407 For Sale"@en-US Sale | Cheap Jordans 2017"@en-US	COL title VAL "2017 Air Jordan 13 Low “Brave Blue” 310810-407"@en-US	1
