,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
0,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Rye Amber Ale,Climax Noel - Rye Cider Mill,American Black IPA,5.00 % 𔶒𝏼�,0
1,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eiffel Valley Bourbon Barrel Aged IPA,Eiffel Valley Brewing Co,American Amber / Red Ale,6.80 % aepernick0,0
2,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Wild Orange Reserve Malt Extracts / Imperial Imperial Rum,Wild Orange Brewery,American Pale Ale,13.00 % ��,0
3,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Oskar Blues Brewery Col Brew_Factory_Name,St. Clair County Brewing Corporation,American Red Ale,5.40 % identlycol Beer_Name,0
4,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Muddy River Flying Jack IPA,Mountain Goat Beer Pty Ltd,American Strong Ale,7.70 % ����,0
5,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Noble Spirits Barrel Aged Porter,Big Kama Brewing Company,Americana / Bourbon Barrel Aged,25 % 𦨷龍,0
6,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Dogfood's Red Pepper Imperial IPA,Dogfood's Craft Beer,American Amber / Red Ale,7.50 % galitarian,0
7,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Krakatoa Beer Barrel 1 Ale,Krakatoa Brewing Co.,American Strong Ale,7.70 % 𒤢�,0
8,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Red-bar Imperial Red Ale,Red-Bar Imperial Red Ale,American Barrel-Aged,6.00 % -------------,0
9,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Perennial Red Root Beer,Perennial Red Root Beer,American Blonde / Pale ale,5.55 % 𠺡科顔,0
10,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Red Horn Brewhouse and Brewing Company Red Horn Drink Well Red Ale,Eel River Brewing Co.,Aromas Ale,9.50 % ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,0
11,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Rubins Craft Bar Craft IPA,Rubins Brewing Company,American Strong Ale,6.80 % ��,0
12,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Strong Ale,9.20 % galitarian0,0
13,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Rye Farmstead Imperial Rye IPA,Rye Farmstead brewery,American Pale Ale @ Bismarck,6.60 % ******************** ****************,0
14,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Pale Ale Pale Ale CO 2.0,Rizzoli & Co,American Pale Ales,9.75 % **************************,0
15,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Imperial Ale,Black Cherry Brewing Company,American Amber / Red Ale,5.70 % Michigan Ale BeerStyle,0
16,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Sour Ale,Mountain Goat Sour Ale,American Amber,9.50 % WNSTLUB Beer_Name,0
17,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,North Peak Brewing Co ( volume 5 Imperial Red Ale ) W / Pale ale,North Peak Brewing Co,American Imperial Red Ale,,0
18,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Pale Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.80 % 𤎨,0
19,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Black Sea Pale Ale,Black Sea Pale Ale W / Blueberry Wagon,American Amber / Red Ale,10.00 % !!!!!!!,0
20,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Dominion The Old Guardian Imperial Red Ale,Stone Brewing Co.,American Blue IPA,5.00 % 𐭹ರಠಡಳ౸಩ತಧ಩ರಡಳಳ/ ⋯,0
21,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' O' Locksport Barleywine ( American Imperial Red Ale ),Off St. Mary's Lick,American Barleywine,4% 𒈇𒈈,0
22,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Oakley Barrel-Aged,Port Jackson Barleywine,American Barleywine,- �,0
23,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Sun Double Lager Porter,Double South Brewing Limited,American Amber / Red Ale,6.30 % 𐐐,0
24,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Red Rose Brewing Company &#40; Westmoreland &#31;,American Amber / Red Ale,5.60 % 𢧲𢡠世界脹,0
