ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Rye Amber Ale,Climax Noel - Rye Cider Mill,American Black IPA,5.00 % 𔶒𝏼�,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eiffel Valley Bourbon Barrel Aged IPA,Eiffel Valley Brewing Co,American Amber / Red Ale,6.80 % aepernick0,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Wild Orange Reserve Malt Extracts / Imperial Imperial Rum,Wild Orange Brewery,American Pale Ale,13.00 % ��,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Oskar Blues Brewery Col Brew_Factory_Name,St. Clair County Brewing Corporation,American Red Ale,5.40 % identlycol Beer_Name,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Muddy River Flying Jack IPA,Mountain Goat Beer Pty Ltd,American Strong Ale,7.70 % ����,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Noble Spirits Barrel Aged Porter,Big Kama Brewing Company,Americana / Bourbon Barrel Aged,25 % 𦨷龍,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Dogfood's Red Pepper Imperial IPA,Dogfood's Craft Beer,American Amber / Red Ale,7.50 % galitarian,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Krakatoa Beer Barrel 1 Ale,Krakatoa Brewing Co.,American Strong Ale,7.70 % 𒤢�,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Red-bar Imperial Red Ale,Red-Bar Imperial Red Ale,American Barrel-Aged,6.00 % -------------,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Perennial Red Root Beer,Perennial Red Root Beer,American Blonde / Pale ale,5.55 % 𠺡科顔,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Red Horn Brewhouse and Brewing Company Red Horn Drink Well Red Ale,Eel River Brewing Co.,Aromas Ale,9.50 % ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Rubins Craft Bar Craft IPA,Rubins Brewing Company,American Strong Ale,6.80 % ��,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Strong Ale,9.20 % galitarian0,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Rye Farmstead Imperial Rye IPA,Rye Farmstead brewery,American Pale Ale @ Bismarck,6.60 % ******************** ****************,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Pale Ale Pale Ale CO 2.0,Rizzoli & Co,American Pale Ales,9.75 % **************************,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Imperial Ale,Black Cherry Brewing Company,American Amber / Red Ale,5.70 % Michigan Ale BeerStyle,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Sour Ale,Mountain Goat Sour Ale,American Amber,9.50 % WNSTLUB Beer_Name,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,North Peak Brewing Co ( volume 5 Imperial Red Ale ) W / Pale ale,North Peak Brewing Co,American Imperial Red Ale,,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Pale Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.80 % 𤎨,0
